time,reto
0.12186717987060547,Reto 81
0.13605117797851562,Reto 82
0.11646270751953125,Reto 83
0.11948823928833008,Reto 84
0.12638449668884277,Reto 85
0.13587594032287598,Reto 86
0.13316988945007324,Reto 87
0.1363215446472168,Reto 88
0.13810181617736816,Reto 89
0.13428831100463867,Reto 90
0.13524365425109863,Reto 91
0.12698864936828613,Reto 92
0.10621476173400879,Reto 93
0.11103701591491699,Reto 94
0.13439297676086426,Reto 95
0.13315844535827637,Reto 96
0.10974383354187012,Reto 97
0.11805963516235352,Reto 98
0.12839269638061523,Reto 99
0.11153340339660645,Reto 100
0.6983447074890137,Reto 101
0.7370870113372803,Reto 102
0.7336945533752441,Reto 103
0.7158737182617188,Reto 104
0.7403812408447266,Reto 105
0.7687745094299316,Reto 106
0.7025701999664307,Reto 107
0.7064015865325928,Reto 108
0.7351992130279541,Reto 109
0.7625069618225098,Reto 110
0.7455620765686035,Reto 111
0.6732089519500732,Reto 112
0.7526242733001709,Reto 113
0.7583630084991455,Reto 114
0.7588226795196533,Reto 115
0.7354187965393066,Reto 116
0.7176337242126465,Reto 117
0.7459299564361572,Reto 118
0.6879360675811768,Reto 119
0.6849145889282227,Reto 120
0.7258317470550537,Reto 121
0.6935453414916992,Reto 122
0.6898608207702637,Reto 123
0.7430250644683838,Reto 124
0.7259981632232666,Reto 125
0.7124526500701904,Reto 126
0.6933112144470215,Reto 127
0.7250499725341797,Reto 128
0.6810300350189209,Reto 129
0.7534534931182861,Reto 130
0.7717576026916504,Reto 131
0.7216670513153076,Reto 132
0.7205331325531006,Reto 133
0.7236573696136475,Reto 134
0.6904611587524414,Reto 135
0.7482080459594727,Reto 136
0.7414267063140869,Reto 137
0.7190067768096924,Reto 138
0.7090780735015869,Reto 139
0.6808652877807617,Reto 140
0.7094719409942627,Reto 141
0.700768232345581,Reto 142
0.7479894161224365,Reto 143
0.7545080184936523,Reto 144
0.7314870357513428,Reto 145
0.732304573059082,Reto 146
0.7419157028198242,Reto 147
0.6759943962097168,Reto 148
0.7119159698486328,Reto 149
0.7200503349304199,Reto 150
0.7064719200134277,Reto 151
0.6251463890075684,Reto 152
0.6816134452819824,Reto 153
0.6295726299285889,Reto 154
0.724346399307251,Reto 155
0.6887569427490234,Reto 156
0.6278657913208008,Reto 157
0.6143929958343506,Reto 158
0.7107353210449219,Reto 159
0.669177770614624,Reto 160
0.5929839611053467,Reto 161
0.6308877468109131,Reto 162
0.672243595123291,Reto 163
0.6785340309143066,Reto 164
0.6615767478942871,Reto 165
0.7131426334381104,Reto 166
0.7358152866363525,Reto 167
0.6723232269287109,Reto 168
0.7282826900482178,Reto 169
0.7236125469207764,Reto 170
0.6675276756286621,Reto 171
0.686877965927124,Reto 172
0.6197566986083984,Reto 173
0.6845781803131104,Reto 174
0.6093103885650635,Reto 175
0.6555607318878174,Reto 176
0.7496695518493652,Reto 177
0.6662013530731201,Reto 178
0.5997591018676758,Reto 179
0.6326947212219238,Reto 180
0.7003903388977051,Reto 181
0.6896688938140869,Reto 182
0.6588594913482666,Reto 183
0.7238326072692871,Reto 184
0.6658399105072021,Reto 185
0.6813075542449951,Reto 186
0.7324666976928711,Reto 187
0.6783928871154785,Reto 188
0.6426787376403809,Reto 189
0.6826989650726318,Reto 190
0.8821406364440918,Reto 191
0.7524194717407227,Reto 192
0.6997973918914795,Reto 193
0.7970218658447266,Reto 194
0.7721717357635498,Reto 195
0.7053380012512207,Reto 196
0.706160306930542,Reto 197
0.6885037422180176,Reto 198
0.7988879680633545,Reto 199
0.7705790996551514,Reto 200
3.3566646575927734,Reto 201
3.187464714050293,Reto 202
3.135089874267578,Reto 203
3.1301767826080322,Reto 204
3.23250150680542,Reto 205
3.1446850299835205,Reto 206
3.2052783966064453,Reto 207
3.1535377502441406,Reto 208
3.055290937423706,Reto 209
3.318209409713745,Reto 210
3.3499977588653564,Reto 211
3.145705461502075,Reto 212
3.0837464332580566,Reto 213
3.158217668533325,Reto 214
3.1265511512756348,Reto 215
3.06601619720459,Reto 216
2.99682879447937,Reto 217
3.2423882484436035,Reto 218
3.297250270843506,Reto 219
3.31001877784729,Reto 220
3.0425405502319336,Reto 221
2.96893572807312,Reto 222
3.1421008110046387,Reto 223
3.162191867828369,Reto 224
3.1078226566314697,Reto 225
3.1248321533203125,Reto 226
3.3532092571258545,Reto 227
3.166806221008301,Reto 228
3.242133855819702,Reto 229
3.1718456745147705,Reto 230
3.264139175415039,Reto 231
3.2165496349334717,Reto 232
3.160548210144043,Reto 233
3.0660173892974854,Reto 234
3.1544058322906494,Reto 235
3.11735200881958,Reto 236
3.0063185691833496,Reto 237
3.249657154083252,Reto 238
3.16687273979187,Reto 239
3.033067226409912,Reto 240
3.110691785812378,Reto 241
3.0718228816986084,Reto 242
3.2210538387298584,Reto 243
3.18533992767334,Reto 244
3.286426305770874,Reto 245
2.955569267272949,Reto 246
3.0847678184509277,Reto 247
3.1929497718811035,Reto 248
3.0088863372802734,Reto 249
3.1225192546844482,Reto 250
3.3333516120910645,Reto 251
2.903465986251831,Reto 252
2.881899833679199,Reto 253
3.253730058670044,Reto 254
3.122093439102173,Reto 255
3.111480951309204,Reto 256
3.102949619293213,Reto 257
3.0382802486419678,Reto 258
3.124394416809082,Reto 259
3.2842726707458496,Reto 260
3.3263707160949707,Reto 261
